,Product
0,COC(=O)[C@H](CCCCN)NC(=O)Nc1cc(OC)cc(C(C)(C)C)c1O
1,O=C(Nc1cccc2cnccc12)c1cc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1
2,CCN(CC)Cc1ccc(-c2nc(C)c(COc3ccc([C@H](CC(=O)N4C(=O)OC[C@@H]4Cc4ccccc4)c4ccon4)cc3)s2)cc1
3,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CN(C(CF)CF)C5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
4,CCOc1ccc(Oc2ncnc3c2cnn3C2CCN(C(=O)OC3CCCC3)CC2)c(F)c1
5,Cn1cnc(-c2cc(C#N)ccn2)c1-c1ccc(-n2cccn2)cc1
6,N#Cc1ccc(OC2CCCCO2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)c1
7,COc1ccc(C(O)Cc2c(Cl)c[n+]([O-])cc2Cl)c2c1OC1(CCCC1)O2
8,CC(C)(C)OC(=O)NNC(=O)c1ccc(Br)cc1Cl
9,CCOP(=O)(COCc1nc2c(N)ncnc2n1CCc1ccccc1)OCC
10,O=C(O)CONC(=O)NCc1cccc2ccccc12
11,CCOC(=O)c1nn[nH]c1C(=O)c1ccc(OC)c(OC)c1
12,COC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(C)C
13,c1ccc(CN2CCC(NCc3c[nH]cn3)CC2)cc1
14,Oc1ccc(OCc2ccccc2)c(Br)c1
15,CC(C)n1nc(-c2ccc(O)cc2)c2cccc(Cl)c21
16,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2Cc3ccccc3Sc3ncccc32)cc1
17,FC(F)(F)c1ccc(N2CCOc3ccccc32)c(Br)c1
18,CC(C)Sc1ncccc1F
19,COC(=O)C(C)(C)CN1CCN(C2=Nc3ccc(Cl)cc3Cn3cc(C)cc32)CC1
20,CCN(c1nc(F)ccc1NC(C)C)C1CCNCC1
21,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC4CCCC4)nc23)N1
22,COC(Oc1cc(Cl)cc(Cl)c1)C(=O)OC(C)(C)C
23,NCc1cccc([N+](=O)[O-])c1
24,C#Cc1coc2ccc(C(=O)N[C@H]3CN4CCC3CC4)cc12
25,CC(=O)OC(COCCOS(C)(=O)=O)c1cccc(Cl)c1
26,O=C(NCc1ccco1)N1CCC(CCOc2ccc3cc2CCc2cncc(c2)Nc2ncc(Cl)c(n2)N3)CC1
27,O=C1CN(c2ccncc2)CCN1c1ccc(OCc2ccccc2)cc1
28,CCC(NCCCNC(=O)OC(C)(C)C)c1nn2cccc2c(=O)n1Cc1ccccc1
29,CC(=O)c1ccccc1Oc1cnn(C(CC2CCCC2)C(=O)O)c(=O)c1
30,O=C(Nc1ccc(Cl)c(-c2ccccn2)c1)c1ccc(-n2cncn2)nc1
31,C=C1C(=C)C2OC1C1=C2CC(C(C)=O)CC1
32,CCOC(=O)C=CCc1ccc(Br)cc1
33,CC(C)(C)OC(=O)N1CCN(c2nc(-c3ccnc(NC4CCOCC4)c3)cc3cnccc23)CC1
34,CN1Cc2cc(Cl)ccc2-n2c(Br)nnc2C1
35,CN(C)C(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1
36,CCOC(=O)Cc1ccc(OC)c(Oc2ccc([N+](=O)[O-])cc2CSCC(F)(F)F)c1
37,CC(C)(C)OC(=O)NCC1CCN(S(=O)(=O)c2cccc3cncc(Cl)c23)CC1
38,CCOC(=O)c1ccc(N[C@@H]2CC[C@@H](O)CC2)c([N+](=O)[O-])c1
39,COc1cc(C(F)(F)F)cc(C(F)(F)F)c1C(=O)N[C@@H]1CCCC[C@@H]1NC1CCN(C(C)=O)CC1
40,CCCCCc1nc2c(N)nc3ccccc3c2n1CCCCNS(=O)(=O)c1ccccc1
41,CC(C)Cn1c(=O)n(C)c(=O)c2c(-c3cc(C(=O)NCCNC(C)C)cn3C)n(Cc3c[nH]c4ccc(Cl)cc34)nc21
42,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CCCN1CCN(c2ccccc2)CC1
43,CC(=O)Oc1ccccc1C
44,COC(=O)c1ccc2c(c1)[C@@H](N(C)C(=O)OC(C)(C)C)CC[C@H]2c1ccc(Cl)c(Cl)c1
45,COCOc1ccc(C2(C)COc3cc(OCOC)ccc3C2CCCCCCCCOS(=O)(=O)c2ccc(C)cc2)cc1
46,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NS(=O)(=O)c1cccc(C(=O)N(C)C)c1
47,FC(F)(F)c1cc(-c2c[nH]cn2)cc(C(F)(F)F)c1
48,N#CC1CCN(C(=O)OCc2ccccc2)CC1
49,CCSc1nc(N2CCOC[C@@H]2CO)cc(C)c1C(=O)NCc1cccc(F)c1
50,CC1(C)[C@@]2(C)CC[C@]1(C(=O)Nc1ccc(Cl)cc1[C@@](O)(C#CC1CC1)C(F)(F)F)OC2=O
51,Cc1ccc(C(C)(C)C)cc1N
52,CNc1cccc(NC(=O)NC(=O)c2ccccc2)c1C#N
53,CC1=C(C#N)C(c2ccc3c(c2)c(NS(=O)(=O)Cc2ccc(F)cc2)nn3C(=O)OC(C)(C)C)C(C#N)=C(C)N1
54,O=C(Cc1cc(F)cc(F)c1)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H]1C(=O)Nc2ccccc2S[C@@H]1c1ccccc1
55,CCNC(=O)c1c(OCc2ccccc2)c(OCc2ccccc2)c(C(=O)N(C)C)n1-c1ccc(OC)cc1
56,CN(Cc1ccccc1)c1nc2oc3c(NCCN4CCOCC4)ncnc3c2c2c1COC(C)(C)C2
57,c1ccc(COc2ccc(-c3nccc(NC4CCCC4)n3)cc2)cc1
58,C#CCNC(=O)c1cccc(F)c1Nc1nc(Nc2ccc3c(c2)OCC(O)(CO)CN3CC)ncc1Cl
59,O=C(NCCC1CC1)c1ccc(N2CC3=C(CN(C(=O)c4ccccc4C(F)(F)F)C3)C2)nc1
