,time,similar_mols,smiles
732,0.00032269999999989807,"[('C=CCOc1ccc2c(O[SiH](C)C)c(C(=O)c3cn(C(c4ccccc4)(c4ccccc4)c4ccccc4)cn3)ccc2c1', 0.9090909090909091), ('C#CCOc1ccc2c(O[SiH](C)C)c(C(=O)c3cn(C(c4ccccc4)(c4ccccc4)c4ccccc4)cn3)ccc2c1', 0.9090909090909091), ('C[SiH](C)Oc1c(C(=O)c2cn(C(c3ccccc3)(c3ccccc3)c3ccccc3)cn2)ccc2cc(OCCBr)ccc12', 0.9090909090909091)]",C[SiH](C)Oc1c(C(=O)c2cn(C(c3ccccc3)(c3ccccc3)c3ccccc3)cn2)ccc2cc(C(C)(C)C)ccc12
773,0.0003354999999999997,"[('C[C@H]1COCCN1c1cc(C2(S(=O)(=O)c3cccnc3C(=O)N(C)C)CC2)nc(-c2ccc(C3CC(c4ccccc4)=NN3)cc2)n1', 0.7741935483870968), ('C[C@H]1COCCN1c1cc(C2(S(=O)(=O)c3cccnc3C(=O)N(C)C)CC2)nc(-c2ccc(C3=NNC(c4ccccc4)C3)cc2)n1', 0.7741935483870968), ('C[C@H]1COCCN1c1cc(C2(S(=O)(=O)c3cccnc3C(=O)N(C)C)CC2)nc(-c2ccc(N3CCOC3c3ccccc3)cc2)n1', 0.7741935483870968)]",C[C@H]1COCCN1c1cc(C2(S(=O)(=O)c3cccnc3C(=O)N(C)C)CC2)nc(-c2ccc(NC(=O)Oc3ccccc3)cc2)n1
800,0.00018735999999996977,"[('CC1(COCc2coc(-c3ccc(F)cc3)n2)COCOC1', 0.9333333333333333), ('OCC1(COCc2coc(-c3ccc(C=CBr)cc3)n2)COCOC1', 0.9166666666666666), ('C=CCc1ccc(-c2nc(COCC3(CO)COCOC3)co2)cc1', 0.9166666666666666)]",OCC1(COCc2coc(-c3ccc(F)cc3)n2)COCOC1
881,0.00019316000000006993,"[('O=C(c1ccc2c(CO)cnc(-c3c(F)cc(F)cc3F)c2c1)C1CC1', 0.9019607843137255), ('O=C(c1ccc2c(CO)cnc(-c3c(F)cc(F)cc3F)c2c1)C1CCC1', 0.8846153846153846), ('CC1CN1C(=O)c1ccc2c(CO)cnc(-c3c(F)cc(F)cc3F)c2c1', 0.8846153846153846)]",COC(=O)c1ccc2c(CO)cnc(-c3c(F)cc(F)cc3F)c2c1
1705,0.0001703799999999589,"[('C=COC(=O)C1CCCn2c(C(=O)c3ccccc3)ccc21', 0.9302325581395349), ('O=C(c1ccccc1)c1ccc2n1CCCC2C(=O)O', 0.926829268292683), ('C=CCOC(=O)C1CCCn2c(C(=O)c3ccccc3)ccc21', 0.9090909090909091)]",COC(=O)C1CCCn2c(C(=O)c3ccccc3)ccc21
1767,0.00018897999999998306,"[('C=CCOc1ccccc1/C=N/NC(=O)c1ccc2ccccc2c1', 0.84), ('O=C(N/N=C/c1ccccc1-n1cncn1)c1ccc2ccccc2c1', 0.8235294117647058), ('CC(C)=CCOc1ccccc1/C=N/NC(=O)c1ccc2ccccc2c1', 0.8076923076923077)]",O=C(N/N=C/c1ccccc1C(F)(F)F)c1ccc2ccccc2c1
1834,0.0003782400000000408,"[('CC(C)=CCOc1ccc(Nc2ccc(C#N)cc2)c(C(F)(F)F)c1', 0.8333333333333334), ('CN(C)CCOc1ccc(Nc2ccc(C#N)cc2)c(C(F)(F)F)c1', 0.8333333333333334), ('CC(=O)Oc1cc(OC(C)C)ccc1Nc1ccc(C#N)cc1', 0.8260869565217391)]",CC(C)Oc1ccc(Nc2ccc(C#N)cc2)c(C(F)(F)F)c1
1875,0.00030172000000012745,"[('C=CCc1ccc2c(c1)N(C(=O)OC(C)(C)C)Cc1ccccc1O2', 0.9166666666666666), ('CC(C)(C)OC(=O)N1Cc2ccccc2Oc2ccc(CCBr)cc21', 0.9166666666666666), ('CCNc1ccc2c(c1)N(C(=O)OC(C)(C)C)Cc1ccccc1O2', 0.9166666666666666)]",CC(C)(C)OC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21
2546,0.0002555799999999664,"[('NCc1ccc(OC(=O)c2ccccn2)cc1', 0.5454545454545454), ('NCC(=O)NCC(=O)OCc1ccccn1', 0.5), ('NCC(=O)NNC(=O)OCc1ccccn1', 0.5)]",NCc1ccc(OCc2ccccn2)cc1
2668,0.00024938000000007676,"[('O=C(O)c1ccc(N(Cc2ccc(OC(F)(F)F)cc2)Cc2ccc(-c3ccccn3)cc2)cc1', 0.8285714285714286), ('O=C(O)c1ccc(N(Cc2ccc(OC(F)(F)F)cc2)Cc2ccc(-c3cccc(Br)c3)cc2)cc1', 0.8169014084507042), ('O=C(O)c1ccc(N(Cc2ccc(Cc3ccccn3)cc2)Cc2ccc(OC(F)(F)F)cc2)cc1', 0.8169014084507042)]",O=C(O)c1ccc(N(Cc2ccc(OC(F)(F)F)cc2)Cc2ccc(C3CCCCC3)cc2)cc1
2770,0.00027466000000000437,"[('COc1cccc([C@H]2C[C@@H](NC(C)(C)c3cccc(NC(=S)SC)n3)C(=O)N2c2ccc(C(F)(F)F)cc2)c1', 0.8831168831168831), ('CCOC(=O)c1cccc(C(C)(C)N[C@@H]2C[C@H](c3cccc(OC)c3)N(c3ccc(C(F)(F)F)cc3)C2=O)n1', 0.8831168831168831), ('COc1cccc([C@H]2C[C@@H](NC(C)(C)c3cccc(NNC(N)=O)n3)C(=O)N2c2ccc(C(F)(F)F)cc2)c1', 0.8831168831168831)]",COc1cccc([C@H]2C[C@@H](NC(C)(C)c3cccc(C(F)(F)F)n3)C(=O)N2c2ccc(C(F)(F)F)cc2)c1
2785,0.000376580000000093,"[('CNC(=O)[C@H]1CCCN(CC(=O)NCC(=O)N(C)c2cccc(COc3cccc4c3nc(OC)n4Cc3ccccn3)c2Cl)C1', 0.989247311827957), ('CNC(=O)[C@H]1CCCN(CC(=O)NCC(=O)N(C)c2ccc(Cl)c(COc3cccc4c3ncn4Cc3ccccn3)c2Cl)C1', 0.9565217391304348), ('COc1nc2c(OCc3c(Cl)ccc(N(C)C(=O)CNC(=O)CN4CCC[C@H](C=O)C4)c3Cl)cccc2n1Cc1ccccn1', 0.9347826086956522)]",CNC(=O)[C@H]1CCCN(CC(=O)NCC(=O)N(C)c2ccc(Cl)c(COc3cccc4c3nc(OC)n4Cc3ccccn3)c2Cl)C1
2821,0.00035959999999990444,"[('CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(CN2CCC=C(C(=O)O)C2)cc1', 0.810126582278481), ('CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(C2(C(=O)O)CCC2)cc1', 0.7894736842105263), ('CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(C2(C(=O)O)CCCC2)cc1', 0.7792207792207793)]",CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
2930,0.00019056000000015061,"[('Cc1cccc(NCCNc2cc(C(N)=O)cn3c(C)c(C)nc23)c1', 0.9583333333333334), ('Cc1ccc(NCCNc2cc(C(N)=O)cn3c(C)c(C)nc23)cc1', 0.9583333333333334), ('CCOC(=O)CNc1cc(C(N)=O)cn2c(C)c(C)nc12', 0.7272727272727273)]",Cc1ccccc1CNc1cc(C(N)=O)cn2c(C)c(C)nc12
3112,0.00019060000000017396,"[('CCOC(=O)N1CC[C@H](Oc2ccccc2)[C@H](c2ccccc2)C1', 0.9795918367346939), ('C=CCc1ccccc1O[C@H]1CCN(C(=O)OCC)C[C@H]1c1ccccc1', 0.9230769230769231), ('CCSC(=O)N1CC[C@H](Oc2ccccc2F)[C@H](c2ccccc2)C1', 0.88)]",CCOC(=O)N1CC[C@H](Oc2ccccc2F)[C@H](c2ccccc2)C1
3635,0.00015863999999989886,"[('C=CCn1cc(-c2ccccc2)c2ccccc2c1=O', 0.8780487804878049), ('CCCn1cc(-c2ccccc2)c2ccccc2c1=O', 0.8780487804878049), ('O=c1c2ccccc2c(-c2ccccc2)cn1CCO', 0.8780487804878049)]",CC(O)Cn1cc(-c2ccccc2)c2ccccc2c1=O
4497,0.00015111999999994907,"[('C#CCOC(=O)c1cccn1[Si](C(C)C)(C(C)C)C(C)C', 0.9), ('C=CCOC(=O)c1cccn1[Si](C(C)C)(C(C)C)C(C)C', 0.9), ('CC(C)[Si](C(C)C)(C(C)C)n1cccc1C(=O)OCCCl', 0.9)]",COC(=O)c1cccn1[Si](C(C)C)(C(C)C)C(C)C
4847,0.0002859200000001394,"[('N#Cc1ccccc1CSc1ccccc1NS(=O)(=O)c1cc2ccccc2o1', 0.9), ('C=CCOc1ccccc1CSc1ccccc1NS(=O)(=O)c1cc2ccccc2o1', 0.8709677419354839), ('O=S(=O)(Nc1ccccc1SCc1ccccc1C(F)(F)F)c1cc2ccccc2o1', 0.8709677419354839)]",COC(=O)c1ccccc1CSc1ccccc1NS(=O)(=O)c1cc2ccccc2o1
5193,0.00022454000000013963,"[('C=CCc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)c(C(=O)C2CCCCC2)c1', 0.9354838709677419), ('COc1cc2nccc(Oc3ccc(CCBr)cc3C(=O)C3CCCCC3)c2cc1OC', 0.9354838709677419), ('CCNc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)c(C(=O)C2CCCCC2)c1', 0.9354838709677419)]",COc1cc2nccc(Oc3ccc(C)cc3C(=O)C3CCCCC3)c2cc1OC
5431,0.00021285999999980375,"[('CCOc1cc2c(NCc3ccc(F)c(F)c3)c(C#N)cnc2cc1OCC1CO1', 0.9310344827586207), ('CCOc1cc2ncc(C#N)c(NCc3ccc(F)c(F)c3)c2cc1OC(=O)NC', 0.896551724137931), ('CCOc1cc2ncc(C#N)c(NCc3ccc(F)c(F)c3)c2cc1OC(=O)CC', 0.896551724137931)]",CCOc1cc2ncc(C#N)c(NCc3ccc(F)c(F)c3)c2cc1OCC
6106,0.00013315999999994333,"[('O=C(NC(=S)NC1CCCC1)c1ccc(Br)cc1', 0.47058823529411764), ('CC(NC1CCCC1)c1ccc(Br)cc1', 0.45161290322580644), ('O=C(Cc1ccc(Br)cc1)OC1CCCC1', 0.4375)]",OC/C(=C/C1CCCC1)c1ccc(Br)cc1
6219,0.00017275999999997183,"[('Nc1c(-n2ncc(C(F)(F)F)cc2=O)ccc(Cl)c1O', 0.926829268292683), ('Nc1c(O)ccc(F)c1-n1ncc(C(F)(F)F)cc1=O', 0.926829268292683), ('NN=Cc1cc(F)c(-n2ncc(C(F)(F)F)cc2=O)c(N)c1O', 0.9090909090909091)]",Nc1c(O)c(Cl)cc(F)c1-n1ncc(C(F)(F)F)cc1=O
6298,0.00019374000000000892,"[('C#CC1CN(c2ccc3c(=O)c(C(=O)O)cn(CC)c3c2)CCN1', 0.9387755102040817), ('C#CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C)CCN1', 0.9387755102040817), ('C#CC1CN(c2cc3[nH]cc(C(=O)O)c(=O)c3cc2F)CCN1', 0.9166666666666666)]",C#CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3CC)CCN1
6442,0.00022214000000007062,"[('COc1ccc2cc(C(=O)C(C)N3CCN(N=Cc4ccccc4)CC3)ccc2c1', 0.7457627118644068), ('COc1ccc2cc(C(=O)C(C)N3CCN(N=Nc4ccccc4)CC3)ccc2c1', 0.7457627118644068), ('COc1ccc2cc(C(=O)C(C)N3CCN(C(=S)Nc4ccccc4)CC3)ccc2c1', 0.7333333333333333)]",COc1ccc2cc(C(=O)C(C)N3CCN(Cc4ccccc4)CC3)ccc2c1
6639,0.00012290000000003687,"[('c1ccc(Oc2ccccn2)cc1', 0.9629629629629629), ('CNCc1ccc(Oc2ccccc2)nc1', 0.8666666666666667), ('ON=Cc1ccc(Oc2ccccc2)nc1', 0.8666666666666667)]",Brc1ccc(Oc2ccccc2)nc1
7235,0.0002048800000000739,"[('CC(C)(C)OC(=O)Nc1ccc(-c2cnc(CCCC3CO3)nc2)cc1', 0.92), ('C=COCCCc1ncc(-c2ccc(NC(=O)OC(C)(C)C)cc2)cn1', 0.92), ('C=CCCCCc1ncc(-c2ccc(NC(=O)OC(C)(C)C)cc2)cn1', 0.92)]",CC(C)(C)OC(=O)Nc1ccc(-c2cnc(CCCO)nc2)cc1
7448,0.00017168000000005178,"[('C#CCCNc1ccnc2c1CC1(CN3CCC1CC3)O2', 0.926829268292683), ('CCNc1ccnc2c1CC1(CN3CCC1CC3)O2', 0.9230769230769231), ('COCCCNc1ccnc2c1CC1(CN3CCC1CC3)O2', 0.9047619047619048)]",NCCNc1ccnc2c1CC1(CN3CCC1CC3)O2
7487,0.0001792399999999361,"[('O=C(NN=Cc1ccncc1)c1cc(-c2ccncc2)n[nH]c1=O', 0.6808510638297872), ('CC(NC(=O)c1cc(-c2ccncc2)n[nH]c1=O)c1ccncc1', 0.6808510638297872), ('O=C(NC(=S)Nc1ccncc1)c1cc(-c2ccncc2)n[nH]c1=O', 0.6666666666666666)]",O=C(NCc1ccncc1)c1cc(-c2ccncc2)n[nH]c1=O
7686,0.00011303999999991987,"[('c1ccc2cnccc2c1', 0.9090909090909091), ('BrCc1cccc2cnccc12', 0.8333333333333334), ('ClCc1cccc2cnccc12', 0.8333333333333334)]",COc1cccc2cnccc12
