,time,similar_mols,smiles
7161,0.0028862200000000725,"[('O=C(CCSc1ccc(-c2ccccc2)cc1)Nc1ccc(-c2ccccc2)cc1C(=O)O', 0.5421047417431508), ('CC(Oc1ccc(-c2ccccc2)cc1)C(=O)Nc1ccc(-c2ccccc2)cc1C(=O)O', 0.5421047417431508), ('CC(Sc1ccc(-c2ccccc2)cc1)C(=O)Nc1ccc(-c2ccccc2)cc1C(=O)O', 0.5262348115842176)]",O=C(Nc1ccc(-c2ccccc2)cc1C(=O)O)OCc1ccc(-c2ccccc2)cc1
484,0.0002722800000004355,"[('CC(NC(=O)Cc1ccc2nonc2c1)c1ccc([N+](=O)[O-])cc1', 0.41612518928823955), ('C=CCC(NCc1ccc2nonc2c1)c1ccc([N+](=O)[O-])cc1', 0.41300810278220046), ('CC(C#N)(Cc1ccc2nonc2c1)Nc1ccc([N+](=O)[O-])cc1', 0.41300810278220046)]",O=[N+]([O-])c1ccc(N(Cc2ccc3nonc3c2)n2cncn2)cc1
35258,0.00028567999999999926,"[('CC(C)(C)OOCN1CCN(C(=O)c2ccc(Br)cc2[N+](=O)[O-])CC1', 0.6032997499048828), ('CN(C)C(=S)SC(=S)N1CCN(C(=O)c2ccc(Br)cc2[N+](=O)[O-])CC1', 0.6021937915964948), ('CC(C)COC(C)C(=O)N1CCN(C(=O)c2ccc(Br)cc2[N+](=O)[O-])CC1', 0.5918072735752778)]",Cc1cnc(N2CCN(C(=O)c3ccc(Br)cc3[N+](=O)[O-])CC2)c(C)c1
44053,0.00035848000000004987,"[('CC(C)(NC(=O)Cn1nc(-c2ccc(CCBr)cc2)n(C2CC2)c1=O)c1cccc(C(F)(F)F)c1', 0.8628515112493692), ('CC(C)(NC(=O)Cn1nc(-c2ccc(C3CO3)cc2)n(C2CC2)c1=O)c1cccc(C(F)(F)F)c1', 0.8628515112493692), ('CC(C)(NC(=O)Cn1nc(-c2ccc(C=CBr)cc2)n(C2CC2)c1=O)c1cccc(C(F)(F)F)c1', 0.8564835163859433)]",CC(C)(NC(=O)Cn1nc(-c2ccc(Cl)cc2)n(C2CC2)c1=O)c1cccc(C(F)(F)F)c1
16617,0.0005610799999999471,"[('CC(SCc1ccc(CC2SC(=O)NC2=O)cc1)C(=O)Nc1ccc(Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)cc1N(C)C(=O)OC(C)(C)C', 0.714569856330084), ('CC(=NNc1ccc(Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)cc1N(C)C(=O)OC(C)(C)C)c1ccc(CC2SC(=O)NC2=O)cc1', 0.7056049597788396), ('CN(C(=O)OC(C)(C)C)c1cc(Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)ccc1NN=Cc1ccc(CC2SC(=O)NC2=O)cc1', 0.7049405481816097)]",CN(C(=O)OC(C)(C)C)c1cc(Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)ccc1NC(=O)COc1ccc(CC2SC(=O)NC2=O)cc1
5349,0.00036671999999988715,"[('CC(C)N=C(NC#N)SCc1ccc(C(=O)N2CCN(C(=O)OC(C)(C)C)CC2)cc1', 0.6098575485375226), ('CC(C)(C)OC(=O)N1CCN(C(=O)c2ccc(Oc3ccc(C(C)(C)C)cc3)cc2)CC1', 0.5982323322180242), ('CC1CC(C)(C)OC(c2ccc(C(=O)N3CCN(C(=O)OC(C)(C)C)CC3)cc2)O1', 0.557773351022717)]",CC(C)N(CCc1ccc(C(=O)N2CCN(C(=O)OC(C)(C)C)CC2)cc1)C(C)C
19502,0.0003593799999999092,"[('CCOC(=O)C(=O)CCc1cc2c(o1)C[C@@H](OC1CCCCO1)[C@@H]2C=O', 0.7869286231209508), ('O=C[C@@H]1c2cc(CCCC=C(Br)Br)oc2C[C@H]1OC1CCCCO1', 0.7517640165488823), ('CC(C)C(=O)OCCc1cc2c(o1)C[C@@H](OC1CCCCO1)[C@@H]2C=O', 0.7198484689028783)]",COC(=O)CCCCc1cc2c(o1)C[C@@H](OC1CCCCO1)[C@@H]2C=O
38702,0.0003197000000000116,"[('C#CCCOC(=O)NC1=NC(C)(c2cccc(-c3cncc(C#N)c3)c2)COC1', 0.7966043836568455), ('CC1(c2cccc(-c3cncc(C#N)c3)c2)COCC(NC(=O)ON=C2CCCC2)=N1', 0.7832151211039825), ('CC(=CCOC(=O)NC1=NC(C)(c2cccc(-c3cncc(C#N)c3)c2)COC1)CO', 0.7673909622147559)]",CC(C)(C)OC(=O)NC1=NC(C)(c2cccc(-c3cncc(C#N)c3)c2)COC1
44726,0.0007263000000252262,"[('Oc1cccc(-c2nc3c(NC4CCCC4)cccn3c2-c2ccnc(Nc3ccc(Br)cc3)n2)c1', 0.8815570640309436), ('C=CCNc1nccc(-c2c(-c3cccc(O)c3)nc3c(NC4CCCC4)cccn23)n1', 0.8384690232980007), ('O=C(O)CCNc1nccc(-c2c(-c3cccc(O)c3)nc3c(NC4CCCC4)cccn23)n1', 0.8136241126366278)]",Oc1cccc(-c2nc3c(NC4CCCC4)cccn3c2-c2ccnc(NC3CCCC3)n2)c1
7293,0.0005520199999637043,"[('N=C(CC(=O)Nc1cccc2c1C(=O)c1sccc1CS2)NO', 0.6652991438591156), ('CC(=CCOC(=O)Nc1cccc2c1C(=O)c1sccc1CS2)CO', 0.6401922788086043), ('O=C(C=C(O)C(=O)Nc1cccc2c1C(=O)c1sccc1CS2)CO', 0.6363961030678927)]",C[C@](O)(C(=O)Nc1cccc2c1C(=O)c1sccc1CS2)C(F)(F)F
